Well,CellCount,MeanCellArea
G09,30285,340.99
G10,31897,335.89
G11,35193,320.16
16,,
Timespan(h):,360.72,
B02,888,246.26
B03,1210,248.03
B04,1411,263.22
B05,10974,313.6
B06,18919,333.95
B07,22256,361.22
B08,26795,346.51
B09,32015,327.65
B10,36569,312.29
B11,36054,313.65
C02,1423,284.14
C03,1597,293.01
C04,2958,276.62
C05,5791,330.45
C06,24011,334.85
C07,22669,361.6
C08,27404,352.47
C09,32400,330.58
C10,35246,318.25
C11,36319,307.88
D02,1472,270.54
D03,1498,260.28
D04,2332,276.88
D05,8450,307.88
D06,20227,345.79
D07,24753,346.61
D08,26979,355.01
D09,34011,321.28
D10,37475,310.56
D11,35653,317.97
E02,1177,279.25
E03,1632,273.54
E04,2363,299.8
E05,5549,313.02
E06,24774,329.54
E07,24136,361.58
E08,27940,348.15
E09,35264,314.99
E10,36413,314.19
E11,37115,315.42
F02,1030,266.6
F03,1238,266.58
F04,1838,271.71
F05,5551,321.27
F06,24337,341.6
F07,23450,353.22
F08,28423,347.17
F09,36952,314.94
F10,36080,319.49
F11,37679,312.89
G02,1221,266.98
G03,1201,249.09
G04,2358,280.9
G05,13714,301.46
G06,20724,353.7
G07,23967,356.79
G08,26641,348.19
G09,33338,323.79
G10,34967,319.96
G11,37732,305.61
17,,
Timespan(h):,387.0833,
B02,974,249.17
B03,1197,253.03
B04,1507,267.45
B05,18417,293.92
B06,21526,332.68
B07,22350,358.41
B08,25731,349.21
B09,29971,334.69
B10,34016,319.04
B11,32230,329.72
C02,1509,275.79
C03,1689,284.22
C04,3791,275.06
C05,8590,325.74
C06,26708,327.02
C07,22752,354.08
C08,26137,349.92
C09,30232,337.89
C10,31887,330.06
C11,33858,321.47
D02,1439,258.9
D03,1527,251.17
D04,2861,286.28
D05,14106,294.23
D06,22775,341.77
D07,24895,343.74
D08,24756,358.13
D09,32322,329.16
D10,32900,330.91
D11,33037,325.48
E02,1185,265.39
E03,1630,275.01
E04,2512,284.7
E05,8713,306.62
E06,27203,329.05
E07,23864,354.02
E08,26608,351.65
E09,32142,330.19
E10,31414,338.16
E11,33853,327.44
F02,1046,265.6
F03,1254,255.53
F04,2083,273.24
F05,8514,320.97
F06,25853,344.71
F07,23644,349.94
F08,27586,344.65
F09,32118,329.31
F10,32384,334.92
F11,32417,331.65
G02,1249,255.16
G03,1188,247.84
G04,2536,288.3
G05,23819,284.33
G06,22812,351.38
G07,23332,358.94
G08,25468,349.25
G09,30208,335.79
G10,32011,331.65
G11,34089,320.84
18,,
Timespan(h):,405.2092,
B02,972,256.01
B03,1329,259.1
B04,1572,263.85
B05,20045,308.04
B06,20490,354.0
B07,21456,365.68
B08,24436,355.67
B09,27734,348.39
B10,32385,328.29
B11,30915,335.42
C02,1429,276.78
C03,1681,288.88
C04,4685,271.76
C05,11342,326.74
C06,24515,350.61
C07,21241,363.69
C08,24821,358.78
C09,29192,342.77
C10,30719,338.16
C11,32750,325.94
D02,1512,264.9
D03,1501,255.37
D04,3692,292.16
D05,20056,275.91
D06,21394,358.92
D07,23624,355.45
D08,23999,364.46
D09,30890,336.6
D10,31721,339.92
D11,31877,334.35
E02,1166,274.32
E03,1617,280.99
E04,2813,287.98
E05,12064,305.38
E06,25843,345.27
E07,22231,366.67
E08,26208,351.55
E09,30301,338.14
E10,29837,344.38
E11,31488,338.97
F02,1049,259.75
F03,1275,259.25
F04,2425,282.31
F05,11920,311.05
F06,23812,363.66
F07,21994,362.1
F08,25478,354.88
F09,30739,336.69
F10,29767,344.09
F11,31736,333.86
G02,1192,251.69
G03,1264,251.27
G04,2859,303.72
G05,26682,294.4
G06,21999,366.82
G07,22676,366.4
G08,24460,357.34
G09,29327,342.5
G10,29733,343.88
G11,32839,327.03
19,,
Timespan(h):,429.0706,
B02,859,237.03
B03,1542,290.17
B04,1304,267.49
B05,24841,314.93
B06,23204,349.23
B07,23696,356.86
B08,25426,346.27
B09,29583,332.33
B10,34953,311.08
B11,32125,324.75
C02,1252,292.49
C03,1379,338.15
C04,6788,285.65
C05,16035,326.97
C06,26939,339.89
C07,22494,355.33
C08,26220,347.91
C09,29869,337.17
C10,31765,327.3
C11,33082,322.29
D02,1569,297.94
D03,1800,292.45
D04,5398,307.54
D05,26739,283.22
D06,23062,355.18
D07,24868,344.05
D08,24463,353.05
D09,32122,323.22
D10,32337,330.55
D11,33069,323.23
E02,1219,270.04
E03,1782,291.46
E04,3277,301.37
E05,18215,306.02
E06,27480,342.49
E07,22185,363.08
E08,26298,346.27
E09,31834,329.66
E10,29924,333.95
E11,32615,328.92
F02,909,238.13
F03,1294,253.99
F04,3227,280.27
F05,17352,310.72
F06,25377,358.13
F07,24021,349.04
F08,26912,345.04
F09,32171,324.41
F10,31925,333.66
F11,33098,326.15
G02,1345,251.83
G03,1247,260.27
G04,3662,325.06
G05,30643,303.51
G06,24772,356.22
G07,24736,352.98
G08,26547,344.09
G09,31637,327.7
G10,32052,327.67
G11,34657,316.6
20,,
Timespan(h):,458.8069,
B02,884,228.05
B03,3669,290.12
B04,1544,265.24
B05,24777,335.73
B06,23381,355.31
B07,22590,356.2
B08,24317,354.21
B09,27169,342.22
B10,30995,328.75
B11,28711,341.18
C02,1331,282.13
C03,1475,335.21
C04,12570,263.4
C05,19772,330.35
C06,26537,340.2
C07,21963,355.61
C08,24244,355.6
C09,27283,348.26
C10,28561,341.35
C11,30989,331.39
D02,1663,295.14
D03,1879,280.63
D04,10318,298.33
D05,32220,283.22
D06,23799,351.14
D07,24196,342.92
D08,23978,356.2
D09,28046,341.29
D10,28750,343.94
D11,29263,339.17
E02,1314,260.3
E03,1811,302.99
E04,4267,309.71
E05,24556,296.55
E06,27171,342.43
E07,22811,356.2
E08,24971,350.0
E09,27511,344.05
E10,27128,348.66
E11,29781,341.7
F02,957,234.88
F03,1307,252.92
F04,5160,269.91
F05,21518,314.76
F06,25020,358.61
F07,23275,343.79
F08,25180,347.87
F09,28915,340.13
F10,28576,346.4
F11,29222,342.25
G02,1392,250.15
G03,1305,253.28
G04,6609,312.36
G05,29895,327.4
G06,25149,355.56
G07,23673,360.1
G08,25865,341.45
G09,29115,336.67
G10,28952,342.45
G11,31025,328.86
21,,
Timespan(h):,482.6786,
B02,910,234.73
B03,6684,276.08
B04,1684,268.5
B05,22421,361.94
B06,22099,369.3
B07,21602,362.49
B08,23600,358.87
B09,25782,352.03
B10,29741,338.99
B11,27267,352.89
C02,1294,282.46
C03,1540,348.31
C04,21034,236.99
C05,18449,357.96
C06,24909,351.78
C07,21696,359.17
C08,23275,361.63
C09,26030,356.07
C10,27017,355.66
C11,30000,339.0
D02,1745,288.5
D03,1893,275.6
D04,16232,280.36
D05,30084,315.43
D06,22375,364.88
D07,23334,353.16
D08,23078,364.73
D09,27603,348.01
D10,27153,351.9
D11,27828,347.22
E02,1298,260.3
E03,1964,311.1
E04,5563,307.19
E05,23084,329.94
E06,25044,359.04
E07,21365,368.97
E08,24919,354.4
E09,26970,351.24
E10,26756,355.48
E11,28375,350.35
F02,976,239.15
F03,1380,242.41
F04,7882,255.52
F05,20593,345.5
F06,23037,371.68
F07,22498,356.32
F08,24228,354.83
F09,27196,352.34
F10,27421,356.24
F11,27895,351.26
G02,1397,251.3
G03,1401,253.23
G04,10843,302.66
G05,26650,350.02
G06,23682,369.29
G07,22282,369.05
G08,25329,345.63
G09,27446,345.52
G10,27577,349.93
G11,29748,338.04
22,,
Timespan(h):,503.8408,
B02,613,208.3
B03,9119,271.47
B04,1812,257.31
B05,24569,362.47
B06,24189,361.81
B07,23229,353.3
B08,25302,345.89
B09,27835,339.78
B10,31075,329.35
B11,29693,332.99
C02,1138,265.13
C03,1126,322.34
C04,25392,271.17
C05,20710,366.63
C06,27648,333.74
C07,22357,355.96
C08,25235,348.93
C09,27723,340.91
C10,28426,339.26
C11,31462,325.72
D02,2128,297.49
D03,1534,274.39
D04,20574,307.59
D05,30091,323.1
D06,23245,358.8
D07,24929,339.68
D08,23993,359.03
D09,29379,337.39
D10,29117,339.65
D11,30662,327.7
E02,1267,253.77
E03,1637,323.77
E04,7131,318.45
E05,25854,335.21
E06,27804,344.29
E07,23453,352.87
E08,26124,344.61
E09,30074,335.07
E10,29156,335.91
E11,30140,339.65
F02,820,236.51
F03,1115,259.63
F04,11044,271.23
F05,22877,355.61
F06,24193,363.47
F07,24853,344.55
F08,24048,349.67
F09,28442,338.88
F10,30201,340.35
F11,30317,336.32
G02,1531,257.01
G03,1509,267.66
G04,15449,313.49
G05,26508,354.24
G06,25985,357.63
G07,25222,349.51
G08,26767,336.97
G09,30010,332.92
G10,29892,333.27
G11,31914,322.06
23,,
Timespan(h):,527.6781,
B02,621,226.61
B03,12334,277.27
B04,2286,255.32
B05,24502,356.78
B06,24181,357.34
B07,22533,352.7
B08,23073,353.21
B09,26244,348.9
B10,29848,333.37
B11,27397,347.04
C02,1101,268.93
C03,1285,346.33
C04,32498,247.24
C05,22884,355.21
C06,26420,335.08
C07,21331,360.6
C08,23167,361.99
C09,25983,351.6
C10,26730,350.01
C11,28911,338.44
D02,2509,293.94
D03,1589,281.57
D04,29468,283.85
D05,31974,308.35
D06,22021,359.69
D07,23451,345.07
D08,22039,366.78
D09,27163,345.71
D10,25618,358.75
D11,27449,346.24
E02,1388,248.92
E03,1784,335.71
E04,10149,311.32
E05,27392,330.73
E06,25489,351.78
E07,22343,361.8
E08,24083,354.99
E09,25931,352.51
E10,25526,358.54
E11,26629,356.15
